FID,Id,X,y,longitud,latitud
141,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464499
142,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464499
143,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464499
144,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464499
145,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464499
146,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464499
147,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464499
148,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464499
149,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464499
150,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464499
151,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464499
152,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464499
153,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464499
154,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464499
155,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464499
156,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464499
157,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464499
158,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464499
159,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464499
160,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464499
161,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464499
162,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464499
163,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464499
164,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464499
165,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464499
166,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464499
167,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464499
168,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464499
169,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464499
170,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464499
171,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464499
172,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464499
173,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464499
174,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464499
175,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464499
176,0,621013.0000000,9773770.0000000,-79.9119034,-2.0464399
177,0,621014.0000000,9773770.0000000,-79.9117966,-2.0464399
178,0,621015.0000000,9773770.0000000,-79.9117966,-2.0464399
179,0,621016.0000000,9773770.0000000,-79.9117966,-2.0464399
180,0,621017.0000000,9773770.0000000,-79.9117966,-2.0464399
181,0,621018.0000000,9773770.0000000,-79.9117966,-2.0464399
182,0,621019.0000000,9773770.0000000,-79.9117966,-2.0464399
183,0,621020.0000000,9773770.0000000,-79.9117966,-2.0464399
184,0,621021.0000000,9773770.0000000,-79.9117966,-2.0464399
185,0,621022.0000000,9773770.0000000,-79.9117966,-2.0464399
186,0,621023.0000000,9773770.0000000,-79.9117966,-2.0464399
187,0,621024.0000000,9773770.0000000,-79.9117966,-2.0464399
188,0,621025.0000000,9773770.0000000,-79.9117966,-2.0464399
189,0,621026.0000000,9773770.0000000,-79.9116974,-2.0464399
190,0,621027.0000000,9773770.0000000,-79.9116974,-2.0464399
191,0,621013.0000000,9773770.0000000,-79.9119034,-2.0464301
